Which_Iphone,Extracted_Model,Price,Memory(GB),battery_percentage,State,Seller,City,Region,Model_Series,Model_Type
15,15 pro,400000,256,94,Б/у,Бизнес,Алматы,Алматинская область,15,pro
16,16 pro max,720000,128,99,Новый,Бизнес,Алматы,Алматинская область,16,pro max
13,13,170000,128,87,Б/у,Частное лицо,Алматы,Алматинская область,13,
13,13 pro max,275000,128,85,Б/у,Частное лицо,Нуркен,Карагандинская область,13,pro max
13,13,245000,128,88,Новый,Частное лицо,Сауран,Туркестанская область,13,
15,15 pro,350000,128,100,Б/у,Бизнес,Павлодар,Павлодарская область,15,pro
15,15,330000,128,94,Б/у,Бизнес,Актобе,Актюбинская область,15,
13,13,229600,128,100,Б/у,Бизнес,Костанай,Костанайская область,13,
13,13 pro max,270000,128,88,Б/у,Бизнес,Шымкент,Туркестанская область,13,pro max
14,14 pro max,420000,256,100,Б/у,Бизнес,Шымкент,Туркестанская область,14,pro max
13,13,420000,128,100,Новый,Частное лицо,Алматы,Алматинская область,13,
15,15 pro max,560000,256,94,Новый,Бизнес,Алматы,Алматинская область,15,pro max
12,12 pro max,165000,128,84,Б/у,Частное лицо,Алматы,Алматинская область,12,pro max
14,14 pro max,500000,256,91,Б/у,Частное лицо,Шымкент,Туркестанская область,14,pro max
14,14 pro max,550000,256,98,Б/у,Частное лицо,Шу,Жамбылская область,14,pro max
13,13,235000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,13,
12,12 pro max,220000,256,84,Б/у,Частное лицо,Актау,Мангистауская область,12,pro max
12,12 pro max,159000,128,84,Б/у,Частное лицо,Петропавловск,Северо-Казахстанская область,12,pro max
15,15 pro,485000,256,94,Новый,Частное лицо,Астана,Акмолинская область,15,pro
14,14 pro,295000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,14,pro
14,14,240000,128,89,Б/у,Частное лицо,Актобе,Актюбинская область,14,
12,12 pro,230000,256,83,Б/у,Частное лицо,Риддер,Восточно-Казахстанская область,12,pro
12,12 pro,200000,128,84,Б/у,Бизнес,Астана,Акмолинская область,12,pro
13,13 pro max,298900,512,80,Б/у,Бизнес,Алматы,Алматинская область,13,pro max
15,15 pro,375000,128,96,Б/у,Бизнес,Астана,Акмолинская область,15,pro
12,12,155000,128,87,Б/у,Бизнес,Костанай,Костанайская область,12,
